,AAPL US Equity,,,,,MSFT US Equity,,,,,GOOGL US Equity,,,,,AMZN US Equity,,,,,TSLA US Equity,,,,,CSCO US Equity,,,,,ADBE US Equity,,,,,INTU US Equity,,,,,VRSN US Equity,,,,,PYPL US Equity,,,,,MDLZ US Equity,,,,,AMGN US Equity,,,,,GILD US Equity,,,,,MRNA UW Equity,,,,,REGN US Equity,,,,,JPM US Equity,,,,,GS US Equity,,,,,V US Equity,,,,,AXP US Equity,,,,,IBM US Equity,,,,,HSBA LN Equity,,,,,BARC LN Equity,,,,,LLOY LN Equity,,,,,STAN LN Equity,,,,,SDR LN Equity,,,,,HL/ LN Equity,,,,,LSEG LN Equity,,,,,BATS LN Equity,,,,,ULVR LN Equity,,,,,TSCO US Equity,,,,,SBRY LN Equity,,,,,MKS LN Equity,,,,,BA US Equity,,,,,DTE GR Equity,,,,,TTE FP Equity,,,,,ABI BB Equity,,,,,NOKIA FP Equity,,,,,BNP FP Equity,,,,,SAN FP Equity,,,,,ALV GR Equity,,,,,EXPN LN Equity,,,,,ITRK LN Equity,,,,,EZJ LN Equity,,,,,AUTO LN Equity,,,,,SGRO LN Equity,,,,,UTG LN Equity,,,,,LAND LN Equity,,,,,BND US Equity,,,,,UKAB3YAC Index,UKX Index,,,,,SPX Index,,,,
15/09/2021,149.03,148.56,149.44,146.37,83281315,300.18,301.005,301.09,298.2,17184083,144.281,143.835,144.565,143.619,20131900,175.465,173.9,176.405,173.847,54823680,250.9733,246.6667,253.4,246.42,60119475,58.88,59.235,59.365,58.75,15503809,661.39,667.35,668.87,656.55,1382387,560.47,563.75,563.75,555.51,882037,220.25,220.4,220.94,218.29,280329,293.26,290.41,293.68,288.04,6789751,60.04,61.38,61.56,59.94,7789728,221.34,223,224.94,219.52,3281921,71.19,71.08,71.3,70.33,6775505,436.39,409.59,438.51,409,3278230,668.81,679.42,679.58,658.02,718314,159.21,159.99,161.3814,158.96,9290968,410.32,411,414.73,409.64,1558500,226.27,226.74,228,225.86,9667640,159.72,158.87,160.66,158.57,3779455,131.8699,133.3887,133.5224,131.5847,3285363,382.5,383.2,385,381.35,18467344,185.38,184.58,186.5,183.98,18730285,43.25,43.695,43.76,43.08,77780715,459.1,457.2,462.4,456.7,11424551,649.57,651.1,652.8,647.53,1198924,1485,1500,1500,1474.5,807904,8200,8178,8218,8144,453342,2722.5,2736.5,2738,2713,1409722,3989,4001,4005.5,3979,1918794,198.01,198.7,199.935,197.06,797472,301.3,302.9,303.5,298.4,4651256,187.1,185,189.9,183,9078998,214.24,215.91,216.71,212.17,13196121,17.962,18.45,18.45,17.812,11575411,37.615,37.665,37.86,37.37,2713500,50.21,50.1,50.42,49.625,1544359,5.107,5.108,5.13,5.08,122150,54.33,54.11,54.66,53.96,2128400,86.4787,87.5429,87.5429,86.2201,1199810,197.28,198.36,198.42,197.1,633385,3292,3309,3323,3273,412159,5374,5414,5432,5364,124095,655.008,669.994,670.5,650.462,3045511,640.6,644.2,644.2,636.8,1248491,1285,1286,1291.5,1275,1097665,1209.5,1250,1250,1207.5,286098,733.8,730.4,738,728,851144,86.03,86.08,86.1,85.96,4840674,3250,7149.37,7187.18,7187.18,7147.94,435832983,4520.03,4535.38,4535.38,4513,484895707
16/09/2021,148.79,148.44,148.97,147.221,68034149,300.21,299.78,300.61,297.4651,15046819,143.691,144.1,144.4,143,18350220,176.275,175.583,177.282,174.784,61067280,251.29,253.86,254.8167,246.9244,56379108,58.68,58.55,58.93,58.49,13124542,663.22,660.15,664.08,657.1,1368043,567.59,559.5,568.48,558.17,918160,222.72,221,223.28,219.73,384858,285.23,296.55,296.7,283.33,11039278,60.86,60.18,60.945,59.91,7162775,220.87,221.33,222.29,220.1,2140430,71.88,71.19,71.91,71.12,4510030,422.9,433.72,437.17,418.21,2404091,669.19,667.8,676.94,666.565,463231,158.5,158.89,159.58,158.04,7852678,405,409.22,410.98,404.7,1646164,229.09,227.38,230.2225,227.04,10652636,158.93,159.19,159.26,156.8,3057036,132.4526,131.9464,132.8538,131.4306,2985409,380.55,379.5,381.75,375.65,17143469,182.42,183.62,184.24,181.44,40264708,42.405,42.835,42.925,42.25,114163434,452.5,456,457.8,451.1,5774029,643.62,643.96,646.51,639.37,1150671,1480.5,1480,1487.5,1470,740145,8198,8160,8220,8144,684272,2723,2714.5,2724.5,2686.5,2694500,4022.5,3977.5,4032,3940,3224336,199.37,198.25,199.75,197.3,802433,301.4,298,301.4,296.6,3941194,186,185.85,187.3,184.75,6318341,211.38,213.6,216.08,210.51,8877646,18,18.046,18.052,17.742,9489736,37.26,37.44,37.64,37.005,4265614,49.7,50.02,50.34,49.39,1509246,5.057,5.08,5.109,5.042,140702,53.5,54,54.08,53.06,2849163,84.3304,86.0212,86.0212,84.1713,2173894,196.4,197.44,197.72,194.54,994632,3270,3262,3283,3224,1016126,5314,5340,5344,5248,171000,664.269,657.534,683.802,649.957,3552233,640,637.2,644,634.2,1567383,1270.5,1275,1277,1262,1608087,1184,1212.5,1212.5,1179.5,581225,708,729.8,729.8,708,2307636,86.17,86.125,86.25,86.09,4864594,3250,7095.53,7149.37,7149.37,7061.13,549795048,4514.07,4518.09,4521.79,4493.95,467052491
17/09/2021,146.06,148.82,148.82,145.76,129868824,297.25,300.82,302.14,297,19927000,143.541,143.841,144.311,143.178,15317100,174.208,176.301,177.499,174.019,54384820,251.62,251.1367,254.0333,250.5434,42233193,58.6,58.45,58.94,58.25,14958801,661.68,664.84,667.46,659.93,1110228,567.75,568.53,572.86,566.585,775329,221.9,223.43,224.87,221.5,390909,286.88,287.45,289.37,285.08,4169970,60.61,60.91,60.91,60.53,4909257,215.58,220.5,220.65,215.41,3273633,70.61,71.64,71.68,70.58,7013695,455.92,429.99,459.41,427.19,4766783,646.11,670.28,672.88,644.65,1047694,159.19,158.27,160.8325,158.08,7904256,404.58,404.67,408.88,403.51,2424949,227.49,229.31,230,227.1,5853038,159.39,158.78,162.15,158.54,3295869,131.5643,131.6694,132.7296,131.3876,3508363,376.45,378.35,379.4,373.5,16848129,181.74,179.38,183.02,178.3,32636973,42.505,41.885,42.785,41.35,161683754,443.4,447.1,448.3,442.2,7375210,644.47,637.67,644.47,633.08,903565,1446,1475,1475,1433,823569,8092,8160,8160,8000,588962,2663,2707.5,2707.5,2658.5,3876718,3965.5,4007.5,4029.5,3965.5,2174791,201.68,200,202.36,198.52,816078,296.9,298.1,299.1,293.6,5172315,184.55,184.25,185,181.7,5785573,213.94,211.15,216.61,210.72,9242766,17.74,17.89,17.946,17.66,6764518,36.945,36.9,37.125,36.69,5052232,48.925,49.305,49.305,48.595,2192057,5.058,5.004,5.088,4.9975,383419,53.74,53.31,54.02,52.82,2585889,82.8585,83.6939,83.6939,82.3811,2045129,193.98,195.34,195.78,193.36,1155334,3252,3236,3266,3229,1324199,5340,5268,5354,5264,185791,596.243,631.435,636.655,572.501,16718458,636.6,635.6,638.8,632.2,1795007,1276.5,1265,1276.5,1263.5,1822208,1180,1178,1188,1170.5,776946,708.2,703,708.8,700.6,1408784,86.48,86.26,86.51,86.19,5504618,3250,7024.21,7095.53,7095.53,6998.62,659619133,4493.28,4513.02,4529.9,4492.07,463557761
20/09/2021,142.94,143.8,144.84,141.27,123478863,295.71,298.415,299.92,295.38,19633363,140.876,144.213,144.719,140.738,36839340,173.458,175.092,175.422,173.145,47945380,245.4233,253.2,254.2033,244.84,45552510,57.89,58.75,58.95,57.82,13622076,658.94,666.18,668.87,658.2,1204255,567.38,571.41,573,567.035,1088594,221.17,222.67,223.49,220.35,424930,284.32,288.6,289,284.11,3816588,60.23,60.42,60.6,60.095,5596642,213.75,216.5,216.99,213.55,2218110,70.99,70.98,71.44,70.25,5089696,449.38,461.85,464.85,448.11,2608288,650.49,650,659.76,646.11,747259,157.36,160.56,160.7193,157.22,8311551,403.48,408,409.79,403.16,1955994,224.91,229.85,230.04,224.82,6715397,158.72,161.17,161.46,158.39,2943665,130.8766,132.5959,133.1211,130.8575,3975115,375.4,377.7,380.5,373.8,11999217,180.26,183.34,183.64,179.94,30548723,42.565,42.735,43.45,42.37,112042058,440,444.7,447.8,439.1,5901956,644.47,648.04,649.57,640.9,1790195,1448,1454.5,1502,1436.5,681163,8126,8126,8184,8110,336519,2655.5,2670,2670,2650.5,2051768,3959,3964,3978,3942.5,1980009,204.85,202.86,207.54,201.98,1049502,294.2,298.3,298.3,292.8,3145581,187.15,185,189.5,183.25,7955589,210.3,215.16,215.89,210.12,6959706,17.31,17.804,17.816,17.252,13176724,36.63,36.905,37.17,36.51,5242783,48.75,49.04,49.055,48.475,1779315,5.04,5.05,5.074,5.025,506659,52.82,53.55,54.02,52.53,2921666,81.4263,82.5999,82.8485,81.1776,2076669,192.8,194.78,195.64,192.56,912710,3335,3273,3342,3264,1057484,5440,5338,5456,5338,198395,573.174,593.717,604.157,573.174,10513209,642,630.4,646.2,630.4,1116546,1268.5,1276,1279.5,1263,1521844,1169,1185.5,1185.5,1168,225172,696.2,710.8,710.8,695.2,801200,86.27,86.335,86.38,86.112,3711443,3250,7029.2,7024.21,7055.22,7014.42,473660834,4458.58,4506.92,4520.47,4457.66,490385730
21/09/2021,143.43,143.93,144.6,142.78,75833962,296.99,297.55,298.54,294.08,23652949,142.333,141.95,142.95,141.25,22093840,172.859,174.14,174.898,171.9,51380440,247.6667,246.7381,248.26,236.2833,68857446,58.1,58.16,58.53,57.725,13553242,645.15,663.04,663.6,640.24,2242491,557.42,570.19,571.47,551.258,1192945,221.08,222.68,223.73,220.05,413735,280.49,286.72,287.19,277.8,4836471,60.77,60.59,61.44,60.53,7723443,216.72,217.06,219.05,215.07,2553433,71.15,71.24,71.9,70.82,11048122,419.72,447.41,448.66,415,3318528,639.52,651.1,653.325,636,798105,159.86,158.53,160.05,158.07,10052807,409.26,407.41,409.37,403.8,1802781,224.63,225.53,227.2,223.411,6808082,161.45,160.64,161.8,159.75,3192472,131.9559,132.1947,132.7582,131.3446,4144345,380.35,378.35,380.85,376.85,11156013,184.1,181.74,184.7,181.3,25456788,43.77,42.98,43.845,42.95,184474053,449.6,442.7,450.7,442.7,5059893,651.61,657.22,658.41,644.64,912912,1453,1456,1466.5,1449.5,370469,8102,8160,8178,8092,335830,2658.5,2650,2678,2630.5,2116006,3998,3961.5,4010.5,3960,1974898,202.08,205.37,206.22,200.39,1495078,290.8,295.4,296.7,290.2,4159599,188.55,187.7,188.55,183.3,5749579,214.48,211.35,215.64,209.88,10175861,17.524,17.348,17.55,17.326,7272323,37.75,36.85,37.785,36.83,6317875,49.47,49.025,49.705,49.025,1265598,4.942,5,5.001,4.939,615896,54.02,53.25,54.18,53.17,2742693,81.0384,81.7147,81.8838,80.7599,1732931,194.92,191.88,195.84,191.88,871169,3316,3342,3364,3303,619512,5394,5436,5492,5394,146966,590,570.2,595,553,12515982,622.4,645,645.4,621.2,1796021,1269.5,1268.5,1278,1262,1302700,1179.5,1175,1183,1171.5,192663,705.2,697.4,705.8,696.4,838020,86.4,86.34,86.42,86.33,4047362,3250,7068.43,7029.2,7090.81,7029.2,527027680,4468.73,4474.81,4492.99,4445.7,545226229
22/09/2021,145.85,144.45,146.43,143.7,76404341,299.79,299.56,301.39,298.1,21853433,142.545,142.995,143.363,141.75,19673860,172.5,173.778,174.34,171.886,38737940,248.1633,247.5233,251.49,245.4667,55574643,57.87,58.24,58.47,57.66,12810336,645.01,646,649.58,642.46,2150162,568.27,565.95,571.203,563.02,1182791,221.95,221.08,222.83,219.58,462867,282.24,281.8444,283.17,279.71,4216695,60.35,60.76,60.98,60.19,3858489,216.04,217.603,217.92,215.12,1999267,70.45,70.77,71.07,70.11,5490336,427.71,419.27,443.7,419.27,2775252,645.15,639.91,650.42,639.91,602110,157.07,160.45,161.34,156.26,11685606,403.69,410.3,417.01,402.78,3263151,223.03,225,225.81,222.279,6575715,159.48,162.68,165.83,158.78,4281618,130.1124,132.1947,132.3571,129.2719,4454291,372.9,377,377.3,371.75,21338826,180.94,183.16,184.3,180.6,27654918,43.555,43.575,44.135,43.45,176558318,439.2,447,448.4,439.1,6496152,646.17,650.59,652.46,645.83,793865,1433.5,1448,1450,1425.5,455317,8106,8038,8130,8008,452359,2659,2657.5,2668,2648,1569017,4007.5,3999,4045.5,3990,2336841,205.26,202.95,205.9,202.09,769784,289.3,290.1,293.4,289.3,3817101,188.9,188.45,189.95,187.2,4882682,211.57,215.84,216.11,210.711,9947021,17.422,17.53,17.574,17.374,7005875,37.845,37.77,38.435,37.585,5673389,48.64,49.45,49.47,48.52,1641072,4.9,4.92,4.9675,4.894,343428,53.39,53.8,54.17,53.06,2609909,81.3765,81.3666,81.7346,80.74,1337895,192.8,194.96,195.48,192.34,1073555,3342,3312,3342,3297,814964,5438,5384,5446,5384,194655,575.2,597.6,599.6,570,6593780,619,621.8,622,611,1666050,1277,1270.5,1282,1265,1536811,1168,1180,1185.5,1168,807770,695.8,706.6,706.8,693.2,760068,86.61,86.465,86.68,86.435,4758567,3250,7034.06,7068.43,7068.45,7020.1,656892454,4443.05,4479.33,4485.68,4435.46,530129919
23/09/2021,146.83,146.65,147.08,145.64,64838170,304.82,303.26,305.32,301.82,28356304,144.43,142.772,144.451,141.348,27407580,173.79,172.126,174.271,170.101,59150740,251.9433,248.3333,252.2867,246.12,46073055,57.56,57.78,59.6,57.06,37524578,661.08,652.315,663.309,650.975,2009337,572.11,570,572.375,564.595,1025729,224.27,222.19,224.96,221.435,395966,282.43,284.21,285.75,279.5,4056783,60.51,60.3,60.67,60.06,5385209,218.13,216.77,219.92,215.86,2555672,71.76,70.58,72.485,70.42,7723658,434.46,427.13,437.6,422.21,2711951,652,658.65,664.99,649.01,883246,158.16,156.72,158.69,156.47,11691485,401.95,398,403.61,396.21,3199766,223.81,222.52,224.835,221.36,6535789,161.34,160.02,162.31,159.21,2933104,131.0485,130.1124,131.6216,129.5871,3254122,372.45,372.1,375.4,371.05,20277574,179.86,180.26,182.5,179.14,41870877,44.14,43.445,44.48,43.43,156684604,440.9,438.6,443.7,436.5,7444968,649.74,648.55,653.14,647.36,868889,1434,1431.5,1448.5,1431,604612,8038,8130,8194,8038,351962,2669.5,2666,2685,2662,2830490,3969,4001.5,4014.5,3969,3062071,205.07,205.1,205.73,203.18,904501,285.7,288.6,289.5,283.1,6582763,186.15,188.8,189.2,184.8,5836440,214.22,211.79,214.35,210.32,7916346,17.466,17.442,17.538,17.354,9409606,38.69,37.845,38.845,37.84,9334848,48.175,48.5,48.69,48.125,1634801,4.7865,4.891,4.9075,4.7785,450270,53.63,53.39,54,53.19,3737528,80.9091,81.3566,81.5058,80.7698,1841023,192.82,193.36,194.28,191.36,1247982,3299,3343,3350,3299,633997,5372,5430,5436,5368,208554,566,569.8,569.8,550.2,10581412,611.4,621,623,611.2,1808405,1257.5,1284,1284,1254,1618007,1157.5,1166.5,1171,1151.5,304037,683.2,695,695.2,683.2,926931,86.53,86.59,86.5959,86.43,6204475,3250,7016.49,7034.06,7047.27,7016.49,721987123,4480.7,4447.49,4486.87,4438.37,609921417
24/09/2021,146.92,145.66,147.47,145.56,53477869,305.22,303.76,305.31,300.76,19550815,143.61,143.951,144.3,142.402,26195420,174.412,172.998,174.628,172.307,51671960,252.33,250.9433,252.97,249.2033,41770179,57.33,58.3093,58.82,57.125,24029589,665.11,657.53,666.47,654.705,2046113,572.88,570.91,574.72,567.94,1000007,224.73,224.31,225.24,223.25,376469,282.97,281.04,283.69,280.39,3606742,60.71,60.62,60.925,60.08,7513185,217.36,218.02,218.65,214,2695607,71.33,71.8,71.86,70.81,5306926,440.65,431.3,446,429,1912516,653.18,649.71,656.67,643.38,540043,158.09,159.41,160.855,157.22,10880895,396.68,404.52,405.98,394.89,2882949,224.33,223.86,225.2,222.75,5928460,162.63,163.1,164.5,162.2,2764960,130.313,131.1249,131.7649,129.6253,2643975,368.9,370.4,373.9,368.55,22011288,182.7,180,183.6,179.98,28357919,44.77,44.075,44.97,44.075,150653547,441.3,444.5,446.6,440.8,4936182,658.07,652.8,660.11,652.12,1143724,1426.5,1437.5,1443.5,1426.5,489944,8140,8048,8164,8048,377914,2663.5,2678,2693,2663,2457690,3946,3935,3971.5,3929,2952625,209.42,205,210.15,204.39,756110,282,286.7,287.1,282,5613539,182.2,186.9,186.9,180.75,6439558,213.36,213.96,216.31,213.31,6370944,17.484,17.466,17.526,17.372,5487492,38.72,38.9,39.385,38.665,7340521,48.405,48.755,49.295,48.35,2057883,4.815,4.771,4.83,4.771,173411,54.16,54,54.87,53.79,2654428,81.2273,80.7599,81.9932,80.7002,1796816,192.92,192.24,193.5,191.82,1047777,3347,3306,3367,3299,887243,5392,5356,5410,5328,197034,606.6,566.2,609.2,565,13233668,619.4,613.6,619.4,610,1982804,1271,1259,1271,1258,1924019,1168,1158.5,1168,1153,453461,692.6,684.8,693.6,683,1195824,86.37,86.35,86.46,86.3007,4604134,3250,7027.48,7016.49,7058.99,7016.32,621619281,4473.75,4477.09,4485.87,4443.8,531399515
27/09/2021,145.37,145.47,145.96,143.82,74150729,299.87,304.17,304.5,299.53,41372457,140.8,143.031,143.45,140.47,53384460,173.126,174.421,174.871,172.607,92331120,253.1633,252.3833,253.68,250,84612528,56.85,57.39,57.45,56.47,40262681,654.48,663.21,665,652.04,3553211,561.85,572.84,572.84,560.67,1860851,218.77,224.37,224.52,217.5,1188346,276.34,282.18,282.5,275.92,8117226,60.94,60.48,61.22,60.15,16980448,219.38,217.23,219.88,215.87,5659940,71.61,70.83,71.76,70.44,10888341,430.05,438.24,441.43,407.01,10851547,651.88,649.17,653,643.287,762045,157.68,157.38,159.01,157,25608018,391.46,396.32,399.16,388.83,3845123,221.75,222.45,223.7,219.3,13833000,163.92,161.57,164.25,161.57,6395518,129.1668,129.6635,129.8258,128.9949,5633480,376.05,373,379.85,372.05,58238893,182.72,183,184.9,181.2,64871292,45.045,45,45.455,44.37,342471538,442,446.7,448.1,439,11951988,652.29,663.34,665.21,651.1,2738872,1424.5,1436.5,1446.5,1419,1455854,8010,8170,8190,7978,852286,2658,2679,2694.5,2648,5234551,3918,3970.5,3976.5,3915,7158284,207.16,208.28,209.26,206,1194686,282.4,283.3,287,282.4,16095372,182.4,183.6,184.25,180.6,6799510,213.36,213.12,215.37,211.91,7944216,17.396,17.496,17.574,17.334,19270012,38.39,39.1,39.24,38.165,11808387,48.995,49.085,49.425,48.705,3599354,4.73,4.81,4.8355,4.696,288273,53.54,54.54,54.81,53.54,7193199,81.108,81.9434,82.3214,80.7798,4135371,191.06,193.38,194.18,190.2,2784107,3312,3378,3389,3291,2029547,5334,5470,5480,5326,515888,630.4,595,638.4,592,23165296,605.2,626.6,626.6,605.2,5826851,1254,1277,1279,1254,6578149,1163,1175,1181,1159.5,880934,696.8,697.8,704.8,695.2,4213814,86.26,86.245,86.28,86.18,6217825,3250,6963.64,7027.48,7092.69,6941.69,1602277343,4432.99,4469.74,4471.52,4427.76,1807659453
28/09/2021,141.91,143.25,144.75,141.69,108972340,294.3,296.33,298.72,289.52,38278661,138.719,138.162,139,136.322,46518040,167.787,169.8,170.95,165.251,93382600,243.39,244.8526,247.3333,239.5416,74272956,55.89,56.38,56.4,55.29,21896975,641.29,646.035,653.93,633.05,2637412,554.4,553.01,560.21,547.51,1300042,214.08,217.65,219.21,211.92,530389,269.91,271.55,273,265.68,7728307,60.43,60.77,61.06,59.99,11213103,215.11,218.383,219.85,214.275,3292974,70.96,70.93,71.92,70.33,9594935,423.33,417.62,435.32,417.26,2668044,640.89,643.84,652,636.17,666652,152.96,153.89,154.56,150.49,15819905,378.13,377.82,380.86,372.5,3834484,220.05,216.96,220.5,216.31,8822592,160.57,159.36,162.14,157.95,5976863,128.2881,127.8965,129.1191,126.8267,4770651,361.7,369.1,370.95,361.7,30414933,174.92,179,179.66,174.6,44591226,43.145,44.32,44.575,43.145,193001578,411,433.6,435.4,410.9,11137648,609.11,643.96,646.34,609.11,1423024,1421.5,1414,1449,1403.5,906532,7840,7986,7986,7776,284316,2641.5,2649,2657,2617,2398873,3988,3925,3997,3917,3086337,205.59,204.7,206.2244,203.21,947975,286.9,282,291.3,280,6732611,181.75,178,182.35,177.65,6047282,209.5,210.81,212.43,206.53,10567364,16.896,17.282,17.32,16.86,10358999,37.845,37.915,38.055,37.335,6943257,48.85,48.465,49.035,47.705,1950428,4.635,4.6325,4.6585,4.5325,482152,51.15,52.35,52.4,50.42,6340308,81.5655,80.7301,81.7744,80.5809,2177593,184.74,190.2,190.4,182.52,2064603,3310,3285,3310,3253,950054,5288,5286,5326,5240,163399,654.2,620,664,609.2,10234363,607.4,602.6,608.4,601.8,1862181,1250.5,1247.5,1255.5,1242,1336777,1139.5,1164.5,1164.5,1137,393741,696,688.8,700,682.2,1326266,86.5,86.39,86.53,86.375,6195292,3250,6903.91,6963.64,6963.64,6828.28,835332862,4357.73,4402.95,4402.95,4305.91,714928170
29/09/2021,142.83,142.47,144.45,142.03,74602044,294.8,295.69,297.54,294.07,22364103,139.033,139.749,140.012,138.278,25331900,167.182,168.75,168.985,166.62,55617560,246.46,244.93,248.2466,243.48,48992169,55.26,55.96,56.37,55.23,18700634,645.89,646.876,650.945,640.3,2449253,555.25,559.74,559.87,553.51,758148,213.72,214.6,216.15,212.99,404493,269.49,271.75,272.2986,267.8,4326076,60.22,60.69,61.14,60.115,7156728,215.36,215.71,218.1,214.36,2112202,71.73,71.28,72.06,71.11,5896216,434.04,424.3,439.55,420.3,2178692,646.95,645.11,656.86,642.81,440841,152.98,153.53,154.55,152.5774,8999860,375.84,380.85,381.5,374.08,2377286,220.17,220.75,222.17,218.98,7033629,163.27,161.91,165.35,161.69,3480657,127.0082,129.0522,129.568,126.9795,4074528,359.75,363,367.75,358.45,23068393,175.02,176.48,178.26,174.26,38554899,42.475,43.55,43.775,42.255,153468823,410,412.5,416.2,409.1,5864667,607.58,612,615.74,604.01,2017095,1417.5,1425.5,1433.5,1412.5,501091,7974,7856,7974,7848,358974,2666,2641,2673.5,2641,1674973,4013,3988,4034.5,3969.5,2038284,207.02,207.11,208.015,204.52,498548,292.5,287.7,294.7,286.7,4292527,185.5,183.35,185.9,182.15,5428156,208.51,210.25,211.76,207.72,7139027,17.212,16.934,17.318,16.916,7969494,38.095,37.585,38.435,37.535,9358190,49.325,48.805,49.54,48.805,1323896,4.6285,4.6185,4.702,4.6185,473945,51.36,51.43,52.26,51.14,3559610,81.7843,80.7997,82.1623,80.6207,1838878,187.56,185.88,188.9,184.5,1361738,3329,3330,3350,3272,945075,5378,5316,5378,5294,152781,655.4,645.6,663.4,634.4,11502462,616.2,610.8,618.2,609.6,1280848,1290.5,1274,1293,1267,1207675,1170,1158,1174,1148.5,297005,705.8,701.2,709.6,697.4,1223189,86.48,86.51,86.52,86.435,6962362,3250,6980.98,6903.91,7004.88,6903.91,738775312,4354.19,4374.45,4394.87,4347.96,524522424
30/09/2021,141.5,143.66,144.378,141.28,89056664,298.58,296.725,300.22,294.51,26626342,140.284,139.304,140.887,138.552,25055560,169.003,167.55,169.45,167.053,48228060,250.6467,247.8421,251.2233,246.3733,45378816,55.52,55.7621,56.13,55.37,17940644,626.08,624.79,628.94,615.06,5689624,562.8,560.6,565,553.64,911270,214.87,213.32,216.76,212.475,357009,272.34,270.46,273.47,266.5,5574070,60.56,60.6,60.97,60.355,4999067,213.64,216.56,216.56,213.46,2542900,71.38,72.07,72.18,71.085,6556960,440.72,433,443.7,428.75,1800186,647.06,646.95,651.01,640.02,561793,155.91,155.2,157.25,155.1,11236150,385.47,380.8,389.29,379.71,2991275,222.75,221.4,224.1,221.1,6005862,167.49,165.62,168.62,164.9,3562920,128.5937,127.7245,129.3006,127.4857,3602416,375.4,363.4,377.4,363.25,23857595,181.22,176.36,181.66,176.36,26253803,43.98,42.9,44.015,42.9,112946186,429.4,413.5,430.9,413.5,5893452,625.94,610.3,628.15,610.3,4151490,1439.5,1421,1452,1421,762575,7964,7996,8014,7922,203037,2693,2673,2693,2663,3351282,4019.5,4008,4048.5,4002.5,2148965,211.87,208.39,212.158,206.66,678121,295.9,293.3,297.2,293.2,5790503,188.25,187.3,188.35,185.8,4302118,216.98,210,217.99,209.65,10953034,17.418,17.308,17.468,17.236,4457461,39.07,38.6,39.38,38.535,8707498,49.99,49.3,50.07,49.295,1170815,4.771,4.6675,4.7775,4.6675,348594,53.16,52.35,53.39,52.18,3130687,82.2816,81.7843,82.5402,81.3765,1698666,191.36,188.58,192.2,187.76,877441,3388,3338,3406,3335,834645,5426,5352,5436,5346,114585,661.2,653.8,672.2,647,8921023,615.4,619.4,620.6,607.8,1296997,1290.5,1290.5,1294.5,1286,1054146,1169.5,1143,1182.5,1143,407302,704.6,709.8,713.4,704.6,1114058,86.57,86.48,86.599,86.4,6006219,3250,7083.37,6980.98,7090.48,6980.98,588884640,4395.64,4367.43,4416.75,4367.43,546603328
01/10/2021,142.65,141.9,142.92,139.11,94639581,299.56,298.845,300.9,297.5339,18604601,141.216,140.988,141.697,140.402,20951000,170.8,169.003,171.448,169.003,47588280,251.2133,251.6667,252.7333,249.3067,35842581,56.69,55.6992,56.895,55.6,16262484,630.84,632.288,633.815,627.02,2985547,577.37,566.18,578.31,565.08,1235097,216.48,214.67,217.7,214.45,341032,279.1,274.45,279.95,273.78,5409581,60.73,60.5,61.12,60.46,6197629,215.05,212.51,215.555,212.3,2181541,71.69,71.48,72.11,71.3,5263484,454.6,439.45,458.43,439.02,2056227,646.51,647,655,644.3,537492,161.18,158,161.71,157.67,12336136,391.86,390.39,393.74,388.18,2517987,228.31,225,228.7,224.36,7952748,173.36,169.49,174.1,169.31,4399234,130.5996,129.1859,131.2586,128.9758,3013238,376.85,375.8,380.7,372.65,20558657,183.96,182.86,184.74,181.84,34661258,45.06,44.4,45.13,44.09,165884002,434,432.1,436,429.7,6317573,628.66,630.02,635.12,627.98,811365,1404.5,1411.5,1422.5,1403.5,849579,7942,7994,8024,7928,246915,2670.5,2695,2700,2663.5,1971131,3991,4026,4028.5,3991,1712721,210.11,213.23,213.68,209.28,720854,295.9,297.6,299.6,294.1,3145252,188.35,188.95,189.95,187.85,3517061,221.1,217.81,222.62,217.15,9344582,17.654,17.458,17.734,17.446,8002601,39.63,39.4,39.705,39.135,6660186,49.995,50.34,50.81,49.94,1362818,4.79,4.8215,4.848,4.774,170425,54.36,53.88,54.53,53.59,3271987,82.4109,82.8485,82.9977,82.2319,1768279,192.52,192.2,193.3,190.92,869031,3338,3408,3418,3331,857852,5304,5468,5474,5304,293081,653.8,655.4,669.8,640.8,7169577,618.8,618.8,624.8,616.4,1324090,1291.5,1294,1303,1290,1263499,1165,1179.5,1184,1164.5,524930,703.6,709.2,714.4,703.6,962299,86.11,86.35,86.3699,86.0701,5222361,3250,7078.35,7083.37,7131.43,7070.68,656615431,4448.98,4406.75,4465.4,4406.75,492031305
